ID,Gender,Age,Salary,Purchased
1083,Male,20,49000,No
1084,Male,35,88000,No
1085,Female,30,62000,No
1086,Female,31,118000,Yes
1087,Male,24,55000,No
1088,Female,28,85000,No
1089,Male,26,81000,No
1090,Male,35,50000,No
1091,Male,22,81000,No
1092,Female,30,116000,No
1093,Male,26,15000,No
1094,Female,29,28000,No
1095,Female,29,83000,No
1096,Female,35,44000,No
1097,Female,35,25000,No
1098,Male,28,123000,Yes
1099,Male,35,73000,No
1100,Female,28,37000,No
1101,Male,27,88000,No
1102,Male,28,59000,No
1103,Female,32,86000,No
1104,Female,33,149000,Yes
1105,Female,19,21000,No
1106,Male,21,72000,No
1107,Female,26,35000,No
1108,Male,27,89000,No
1109,Male,26,86000,No
1110,Female,38,80000,No
1111,Female,39,71000,No
1112,Female,37,71000,No
1113,Male,38,61000,No
1114,Male,37,55000,No
1115,Male,42,80000,No
1116,Male,40,57000,No
1117,Male,35,75000,No
1118,Male,36,52000,No
1119,Male,40,59000,No
1120,Male,41,59000,No
1121,Female,36,75000,No
1122,Male,37,72000,No
1123,Female,40,75000,No
1124,Male,35,53000,No
1125,Female,41,51000,No
1126,Female,39,61000,No
1127,Male,42,65000,No
1128,Male,26,32000,No
1129,Male,30,17000,No
1130,Female,26,84000,No
1131,Male,31,58000,No
1132,Male,33,31000,No
1133,Male,30,87000,No
1134,Female,21,68000,No
1135,Female,28,55000,No
1136,Male,23,63000,No
1137,Female,20,82000,No
1138,Male,30,107000,Yes
1139,Female,28,59000,No
1140,Male,19,25000,No
1141,Male,19,85000,No
1142,Female,18,68000,No
1143,Male,35,59000,No
1144,Male,30,89000,No
1145,Female,34,25000,No
1146,Female,24,89000,No
1147,Female,27,96000,Yes
1148,Female,41,30000,No
1149,Male,29,61000,No
1150,Male,20,74000,No
1151,Female,26,15000,No
1152,Male,41,45000,No
1153,Male,31,76000,No
1154,Female,36,50000,No
1155,Male,40,47000,No
1156,Female,31,15000,No
1157,Male,46,59000,No
1158,Male,29,75000,No
1159,Male,26,30000,No
1160,Female,32,135000,Yes
1161,Male,32,100000,Yes
1162,Male,25,90000,No
1163,Female,37,33000,No
1164,Male,35,38000,No
1165,Female,33,69000,No
1166,Female,18,86000,No
1167,Female,22,55000,No
1168,Female,35,71000,No
1169,Male,29,148000,Yes
1170,Female,29,47000,No
1171,Male,21,88000,No
1172,Male,34,115000,No
1173,Female,26,118000,No
1174,Female,34,43000,No
1175,Female,34,72000,No
1176,Female,23,28000,No
1177,Female,35,47000,No
1178,Male,25,22000,No
1179,Male,24,23000,No
1180,Female,31,34000,No
1181,Male,26,16000,No
1182,Female,31,71000,No
1183,Female,32,117000,Yes
1184,Male,33,43000,No
1185,Female,33,60000,No
1186,Male,31,66000,No
1187,Female,20,82000,No
1188,Female,33,41000,No
1189,Male,35,72000,No
1190,Male,28,32000,No
1191,Male,24,84000,No
1192,Female,19,26000,No
1193,Male,29,43000,No
1194,Male,19,70000,No
1195,Male,28,89000,No
1196,Male,34,43000,No
1197,Female,30,79000,No
1198,Female,20,36000,No
1199,Male,26,80000,No
1200,Male,35,22000,No
1201,Male,35,39000,No
1202,Male,49,74000,No
1203,Female,39,134000,Yes
1204,Female,41,71000,No
1205,Female,58,101000,Yes
1206,Female,47,47000,No
1207,Female,55,130000,Yes
1208,Female,52,114000,No
1209,Female,40,142000,Yes
1210,Female,46,22000,No
1211,Female,48,96000,Yes
1212,Male,52,150000,Yes
1213,Female,59,42000,No
1214,Male,35,58000,No
1215,Male,47,43000,No
1216,Female,60,108000,Yes
1217,Male,49,65000,No
1218,Male,40,78000,No
1219,Female,46,96000,No
1220,Male,59,143000,Yes
1221,Female,41,80000,No
1222,Male,35,91000,Yes
1223,Male,37,144000,Yes
1224,Male,60,102000,Yes
1225,Female,35,60000,No
1226,Male,37,53000,No
1227,Female,36,126000,Yes
1228,Male,56,133000,Yes
1229,Female,40,72000,No
1230,Female,42,80000,Yes
1231,Female,35,147000,Yes
1232,Male,39,42000,No
1233,Male,40,107000,Yes
1234,Male,49,86000,Yes
1235,Female,38,112000,No
1236,Male,46,79000,Yes
1237,Male,40,57000,No
1238,Female,37,80000,No
1239,Female,46,82000,No
1240,Female,53,143000,Yes
1241,Male,42,149000,Yes
1242,Male,38,59000,No
1243,Female,50,88000,Yes
1244,Female,56,104000,Yes
1245,Female,41,72000,No
1246,Female,51,146000,Yes
1247,Female,35,50000,No
1248,Female,57,122000,Yes
1249,Male,41,52000,No
1250,Female,35,97000,Yes
1251,Female,44,39000,No
1252,Male,37,52000,No
1253,Female,48,134000,Yes
1254,Female,37,146000,Yes
1255,Female,50,44000,No
1256,Female,52,90000,Yes
1257,Female,41,72000,No
1258,Male,40,57000,No
1259,Female,58,95000,Yes
1260,Female,45,131000,Yes
1261,Female,35,77000,No
1262,Male,36,144000,Yes
1263,Female,55,125000,Yes
1264,Female,35,72000,No
1265,Male,48,90000,Yes
1266,Female,42,108000,Yes
1267,Male,40,75000,No
1268,Male,37,74000,No
1269,Female,47,144000,Yes
1270,Male,40,61000,No
1271,Female,43,133000,No
1272,Female,59,76000,Yes
1273,Male,60,42000,Yes
1274,Male,39,106000,Yes
1275,Female,57,26000,Yes
1276,Male,57,74000,Yes
1277,Male,38,71000,No
1278,Male,49,88000,Yes
1279,Female,52,38000,Yes
1280,Female,50,36000,Yes
1281,Female,59,88000,Yes
1282,Male,35,61000,No
1283,Male,37,70000,Yes
1284,Female,52,21000,Yes
1285,Male,48,141000,No
1286,Female,37,93000,Yes
1287,Female,37,62000,No
1288,Female,48,138000,Yes
1289,Male,41,79000,No
1290,Female,37,78000,Yes
1291,Male,39,134000,Yes
1292,Male,49,89000,Yes
1293,Male,55,39000,Yes
1294,Male,37,77000,No
1295,Female,35,57000,No
1296,Female,36,63000,No
1297,Male,42,73000,Yes
1298,Female,43,112000,Yes
1299,Male,45,79000,No
1300,Male,46,117000,Yes
1301,Female,58,38000,Yes
1302,Male,48,74000,Yes
1303,Female,37,137000,Yes
1304,Male,37,79000,Yes
1305,Female,40,60000,No
1306,Male,42,54000,No
1307,Female,51,134000,No
1308,Female,47,113000,Yes
1309,Male,36,125000,Yes
1310,Female,38,50000,No
1311,Female,42,70000,No
1312,Male,39,96000,Yes
1313,Female,38,50000,No
1314,Female,49,141000,Yes
1315,Female,39,79000,No
1316,Female,39,75000,Yes
1317,Female,54,104000,Yes
1318,Male,35,55000,No
1319,Male,45,32000,Yes
1320,Male,36,60000,No
1321,Female,52,138000,Yes
1322,Female,53,82000,Yes
1323,Male,41,52000,No
1324,Female,48,30000,Yes
1325,Female,48,131000,Yes
1326,Female,41,60000,No
1327,Male,41,72000,No
1328,Female,42,75000,No
1329,Male,36,118000,Yes
1330,Female,47,107000,Yes
1331,Male,38,51000,No
1332,Female,48,119000,Yes
1333,Male,42,65000,No
1334,Male,40,65000,No
1335,Male,57,60000,Yes
1336,Female,36,54000,No
1337,Male,58,144000,Yes
1338,Male,35,79000,No
1339,Female,38,55000,No
1340,Male,39,122000,Yes
1341,Female,53,104000,Yes
1342,Male,35,75000,No
1343,Female,38,65000,No
1344,Female,47,51000,Yes
1345,Male,47,105000,Yes
1346,Female,41,63000,No
1347,Male,53,72000,Yes
1348,Female,54,108000,Yes
1349,Male,39,77000,No
1350,Male,38,61000,No
1351,Female,38,113000,Yes
1352,Male,37,75000,No
1353,Female,42,90000,Yes
1354,Female,37,57000,No
1355,Male,36,99000,Yes
1356,Male,60,34000,Yes
1357,Male,54,70000,Yes
1358,Female,41,72000,No
1359,Male,40,71000,Yes
1360,Male,42,54000,No
1361,Male,43,129000,Yes
1362,Female,53,34000,Yes
1363,Female,47,50000,Yes
1364,Female,42,79000,No
1365,Male,42,104000,Yes
1366,Female,59,29000,Yes
1367,Female,58,47000,Yes
1368,Male,46,88000,Yes
1369,Male,38,71000,No
1370,Female,54,26000,Yes
1371,Female,60,46000,Yes
1372,Male,60,83000,Yes
1373,Female,39,73000,No
1374,Male,59,130000,Yes
1375,Female,37,80000,No
1376,Female,46,32000,Yes
1377,Female,46,74000,No
1378,Female,42,53000,No
1379,Male,41,87000,Yes
1380,Female,58,23000,Yes
1381,Male,42,64000,No
1382,Male,48,33000,Yes
1383,Female,44,139000,Yes
1384,Male,49,28000,Yes
1385,Female,57,33000,Yes
1386,Male,56,60000,Yes
1387,Female,49,39000,Yes
1388,Male,39,71000,No
1389,Male,47,34000,Yes
1390,Female,48,35000,Yes
1391,Male,48,33000,Yes
1392,Male,47,23000,Yes
1393,Female,45,45000,Yes
1394,Male,60,42000,Yes
1395,Female,39,59000,No
1396,Female,46,41000,Yes
1397,Male,51,23000,Yes
1398,Female,50,20000,Yes
1399,Male,36,33000,No
1400,Female,49,36000,Yes
